30, 24
92, 48
51, 83
10, 2
93, 38
5, 31
60, 10
52, 37
73, 65
95, 28
85, 92
66, 73
64, 15
24, 92
86, 16
78, 46
37, 86
4, 47
71, 92
40, 19
55, 35
4, 30
61, 60
61, 37
34, 13
34, 90
29, 93
60, 18
98, 14
18, 96
46, 37
36, 16
24, 100
18, 43
88, 39
71, 87
83, 20
78, 61
64, 7
48, 82
44, 19
59, 60
48, 67
37, 21
70, 56
67, 81
97, 15
69, 82
27, 87
95, 51
27, 34
72, 21
3, 61
57, 84
99, 56
83, 76
13, 76
54, 13
80, 54
76, 45
83, 37
5, 22
46, 25
50, 75
52, 20
36, 40
99, 54
37, 25
11, 91
62, 24
26, 10
7, 6
97, 54
97, 6
1, 2
80, 98
30, 7
69, 82
93, 0
28, 40
60, 65
24, 62
81, 6
36, 46
52, 34
34, 96
20, 85
49, 86
24, 85
16, 11
71, 77
17, 70
33, 45
53, 0
22, 83
17, 100
94, 34
82, 13
27, 64
38, 46
16, 0
6, 54
59, 59
47, 87
9, 59
15, 77
79, 29
98, 69
64, 26
38, 93
89, 77
19, 82
22, 12
67, 9
78, 50
41, 72
13, 32
42, 16
31, 37
69, 87
62, 80
83, 91
19, 98
10, 57
73, 5
53, 18
91, 52
1, 79
24, 11
23, 15
20, 81
53, 4
18, 55
91, 28
79, 21
76, 62
97, 20
95, 27
58, 49
94, 45
83, 44
15, 45
64, 49
15, 66
23, 9
55, 33
22, 3
5, 6
17, 36
84, 8
83, 30
61, 85
61, 24
92, 69
27, 63
33, 39
55, 44
64, 74
21, 20
28, 39
92, 100
94, 81
94, 57
13, 99
25, 28
40, 78
41, 45
20, 33
17, 64
31, 67
23, 82
1, 60
94, 56
5, 43
59, 63
75, 36
83, 78
81, 12
46, 61
98, 82
54, 50
14, 84
14, 88
17, 70
48, 23
25, 64
51, 31
8, 50
46, 21
49, 41
83, 20
10, 58
46, 50
61, 86
96, 93
0, 64
60, 61
95, 61
17, 80
3, 77
62, 8
8, 74
91, 90
5, 28
36, 25
90, 39
2, 27
39, 55
26, 79
69, 58
88, 45
58, 31
9, 57
35, 64
67, 78
39, 96
80, 14
84, 12
84, 34
1, 11
55, 30
56, 32
4, 2
100, 71
66, 4
98, 14
31, 29
32, 22
88, 80
4, 92
51, 51
81, 28
20, 47
98, 99
49, 49
48, 5
12, 38
61, 51
95, 95
79, 32
77, 81
31, 82
1, 79
45, 95
33, 94
90, 55
12, 63
56, 27
38, 86
68, 97
90, 21
71, 7
55, 22
56, 67
44, 81
66, 80
82, 32
100, 50
99, 35
15, 53
32, 60
48, 94
89, 85
79, 31
76, 19
86, 58
14, 82
51, 71
93, 94
29, 88
45, 86
49, 64
7, 87
64, 0
21, 20
3, 38
77, 81
33, 56
50, 92
96, 7
54, 44
77, 98
37, 62
95, 32
18, 29
86, 14
100, 27
56, 72
37, 91
44, 95
54, 44
35, 77
66, 99
42, 28
96, 15
30, 54
17, 17
21, 23
25, 4
14, 97
88, 76
95, 63
69, 75
5, 85
57, 71
21, 80
59, 58
39, 87
94, 18
46, 89
10, 63
77, 49
61, 97
22, 20
41, 9
16, 25
24, 76
59, 55
71, 3
11, 13
5, 67
98, 73
36, 72
89, 24
66, 0
78, 0
42, 20
49, 90
89, 32
24, 51
49, 15
4, 85
38, 91
2, 68
1, 13
86, 67
89, 96
78, 6
34, 87
11, 62
8, 38
87, 11
68, 50
84, 46
64, 56
91, 24
96, 38
91, 69
32, 59
35, 16
77, 82
5, 86
35, 49
9, 43
25, 86
21, 45
72, 35
99, 8
10, 13
72, 36
17, 13
16, 37
28, 27
84, 38
36, 55
43, 71
38, 97
24, 87
44, 42
78, 45
13, 26
8, 43
39, 10
7, 69
61, 5
39, 77
32, 20
20, 42
99, 74
63, 20
71, 75
100, 47
81, 90
81, 96
96, 17
46, 23
77, 35
74, 41
18, 17
56, 92
4, 27
15, 84
13, 57
76, 54
42, 13
0, 69
51, 77
26, 35
4, 32
49, 11
66, 26
2, 25
46, 59
13, 27
82, 67
19, 54
77, 76
92, 57
80, 59
48, 100
57, 72
86, 100
35, 76
76, 13
4, 39
2, 95
95, 66
62, 59
13, 33
6, 37
68, 73
80, 45
64, 26
61, 8
81, 28
87, 37
87, 18
29, 61
61, 86
65, 80
3, 1
93, 75
46, 56
38, 98
25, 58
24, 64
86, 44
17, 77
76, 35
36, 45
9, 19
10, 58
1, 68
15, 53
76, 69
89, 99
26, 61
67, 9
82, 29
76, 83
77, 72
59, 91
46, 78
21, 85
27, 67
70, 66
11, 13
94, 21
36, 57
15, 51
29, 54
21, 60
29, 70
95, 96
20, 71
69, 25
100, 37
99, 18
19, 96
65, 86
2, 28
52, 20
11, 33
100, 44
41, 14
92, 89
91, 97
56, 64
44, 49
41, 74
14, 24
39, 100
44, 65
73, 62
52, 81
90, 42
32, 47
3, 33
60, 27
76, 84
70, 70
95, 6
90, 63
69, 34
57, 83
72, 6
33, 10
100, 76
51, 30
53, 88
